id_cp_interaction	CellType_a	CellType_b	gene_a	gene_b	expValues_a	expValues_b	pValue	mean	significant_mean	annotation_strategy	interacting_pair	Ligand	Receptor	top50的significant_mean的编号
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte CCL2+ Cluster3	CD74	MIF	3.609	3.226	0	3.417	3.417	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte 5	CD74	MIF	3.609	3.093	0	3.351	3.351	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte CCL2- Cluster3	CD74	MIF	3.609	3.031	0	3.32	3.32	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Proliferating T	CD74	MIF	3.609	2.831	0	3.22	3.22	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte 7	CD74	MIF	3.609	2.782	0	3.195	3.195	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	CD1C+CLEC10A+IL1Blow DC	CD74	MIF	3.609	2.649	0	3.129	3.129	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Langerhans cells	CD74	MIF	3.609	2.622	0	3.115	3.115	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	APOE+CD9+ Monocytes	CD74	MIF	3.609	2.524	0	3.066	3.066	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte 2	CD74	MIF	3.609	2.521	0	3.065	3.065	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte 0	CD74	MIF	3.609	2.455	0	3.032	3.032	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte 1	CD74	MIF	3.609	2.418	0	3.013	3.013	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Keratinocyte 6	CD74	MIF	3.609	2.398	0	3.003	3.003	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Fibroblast 6	CD74	MIF	3.609	2.35	0	2.979	2.979	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	NK and gdT	CD74	MIF	3.609	2.303	0	2.956	2.956	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Treg	CD74	MIF	3.609	2.288	0	2.949	2.949	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Th2	CD74	MIF	3.609	2.288	0	2.948	2.948	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	DC-like Monocytes	CD74	MIF	3.609	2.273	0	2.941	2.941	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	FCN1+VCAN+IL1Bhigh Monocytes	CD74	MIF	3.609	2.141	0	2.875	2.875	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	CD1C+CLEC10A+IL1Bhigh DC	CD74	MIF	3.609	2.06	0	2.834	2.834	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	CD163+CD16A+CCL18+ Monocytes	CD74	MIF	3.609	2.004	0	2.806	2.806	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Memory CD4 T	CD74	MIF	3.609	1.997	0	2.803	2.803	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Effector CD8 T	CD74	MIF	3.609	1.843	0	2.726	2.726	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	pDC and Mast	CD74	MIF	3.609	1.763	0	2.686	2.686	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Fibroblast 1	CD74	MIF	3.609	1.684	0	2.646	2.646	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Proliferating T	Fibroblast 0	CD74	MIF	3.609	1.566	0	2.587	2.587	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS09808DEAE	Proliferating T	Fibroblast 1	CD74	APP	3.609	1.416	0	2.512	2.512	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	Keratinocyte 6	CD74	APP	3.609	1.145	0	2.377	2.377	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	Fibroblast 0	CD74	APP	3.609	0.988	0	2.298	2.298	curated	CD74_APP	CD74	APP	2
CPI-SS02DA892C8	Proliferating T	Keratinocyte CCL2+ Cluster3	BSG	PPIA	0.931	3.62	0	2.276	2.276	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS09808DEAE	Proliferating T	Fibroblast 6	CD74	APP	3.609	0.933	0	2.271	2.271	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	Keratinocyte 1	CD74	APP	3.609	0.84	0	2.225	2.225	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	Keratinocyte 7	CD74	APP	3.609	0.833	0	2.221	2.221	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	pDC and Mast	CD74	APP	3.609	0.759	0	2.184	2.184	curated	CD74_APP	CD74	APP	2
CPI-SS02DA892C8	Proliferating T	Keratinocyte CCL2- Cluster3	BSG	PPIA	0.931	3.37	0	2.15	2.15	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS09808DEAE	Proliferating T	Keratinocyte CCL2+ Cluster3	CD74	APP	3.609	0.647	0	2.128	2.128	curated	CD74_APP	CD74	APP	2
CPI-SS02DA892C8	Proliferating T	Proliferating T	BSG	PPIA	0.931	3.317	0.01	2.124	2.124	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS09808DEAE	Proliferating T	Keratinocyte 5	CD74	APP	3.609	0.623	0	2.116	2.116	curated	CD74_APP	CD74	APP	2
CPI-SS02DA892C8	Proliferating T	Keratinocyte 5	BSG	PPIA	0.931	3.297	0	2.114	2.114	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS09808DEAE	Proliferating T	APOE+CD9+ Monocytes	CD74	APP	3.609	0.548	0	2.078	2.078	curated	CD74_APP	CD74	APP	2
CPI-SS02DA892C8	Proliferating T	Keratinocyte 0	BSG	PPIA	0.931	3.214	0.02	2.073	2.073	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS02DA892C8	Proliferating T	Keratinocyte 7	BSG	PPIA	0.931	3.207	0.02	2.069	2.069	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS09808DEAE	Proliferating T	Keratinocyte CCL2- Cluster3	CD74	APP	3.609	0.523	0	2.066	2.066	curated	CD74_APP	CD74	APP	2
CPI-SS02DA892C8	Proliferating T	Keratinocyte 1	BSG	PPIA	0.931	3.197	0.02	2.064	2.064	curated	BSG_PPIA	BSG	PPIA	3
CPI-SS09808DEAE	Proliferating T	Keratinocyte 2	CD74	APP	3.609	0.512	0	2.061	2.061	curated	CD74_APP	CD74	APP	2
CPI-SS0302E8E8F	Proliferating T	Fibroblast 1	CD74	COPA	3.609	0.441	0	2.025	2.025	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS09808DEAE	Proliferating T	CD1C+CLEC10A+IL1Blow DC	CD74	APP	3.609	0.421	0	2.015	2.015	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	Keratinocyte 0	CD74	APP	3.609	0.414	0	2.011	2.011	curated	CD74_APP	CD74	APP	2
CPI-SS0302E8E8F	Proliferating T	pDC and Mast	CD74	COPA	3.609	0.361	0	1.985	1.985	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Fibroblast 6	CD74	COPA	3.609	0.323	0	1.966	1.966	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Treg	CD74	COPA	3.609	0.32	0	1.964	1.964	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Keratinocyte 7	CD74	COPA	3.609	0.308	0	1.958	1.958	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Th2	CD74	COPA	3.609	0.297	0	1.953	1.953	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Fibroblast 0	CD74	COPA	3.609	0.296	0	1.952	1.952	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Proliferating T	CD74	COPA	3.609	0.294	0	1.951	1.951	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	CD1C+CLEC10A+IL1Bhigh DC	CD74	COPA	3.609	0.286	0	1.947	1.947	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Langerhans cells	CD74	COPA	3.609	0.281	0	1.945	1.945	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS09808DEAE	Proliferating T	FCN1+VCAN+IL1Bhigh Monocytes	CD74	APP	3.609	0.274	0	1.942	1.942	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	DC-like Monocytes	CD74	APP	3.609	0.255	0	1.932	1.932	curated	CD74_APP	CD74	APP	2
CPI-SS0302E8E8F	Proliferating T	Keratinocyte 2	CD74	COPA	3.609	0.251	0	1.93	1.93	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Keratinocyte 5	CD74	COPA	3.609	0.25	0	1.93	1.93	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	NK and gdT	CD74	COPA	3.609	0.247	0	1.928	1.928	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	APOE+CD9+ Monocytes	CD74	COPA	3.609	0.242	0	1.925	1.925	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS09808DEAE	Proliferating T	Th2	CD74	APP	3.609	0.241	0	1.925	1.925	curated	CD74_APP	CD74	APP	2
CPI-SS0302E8E8F	Proliferating T	CD1C+CLEC10A+IL1Blow DC	CD74	COPA	3.609	0.238	0	1.923	1.923	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS09808DEAE	Proliferating T	CD163+CD16A+CCL18+ Monocytes	CD74	APP	3.609	0.236	0	1.922	1.922	curated	CD74_APP	CD74	APP	2
CPI-SS0302E8E8F	Proliferating T	Keratinocyte CCL2- Cluster3	CD74	COPA	3.609	0.221	0	1.915	1.915	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Effector CD8 T	CD74	COPA	3.609	0.219	0	1.914	1.914	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	DC-like Monocytes	CD74	COPA	3.609	0.218	0	1.913	1.913	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	CD163+CD16A+CCL18+ Monocytes	CD74	COPA	3.609	0.214	0	1.911	1.911	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS052C9BB74	Proliferating T	DC-like Monocytes	NR3C1	CXCL8	0.423	3.397	0	1.91	1.91	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	5
CPI-SS0302E8E8F	Proliferating T	Keratinocyte 1	CD74	COPA	3.609	0.203	0	1.906	1.906	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Keratinocyte 6	CD74	COPA	3.609	0.201	0	1.905	1.905	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS09808DEAE	Proliferating T	CD1C+CLEC10A+IL1Bhigh DC	CD74	APP	3.609	0.199	0	1.904	1.904	curated	CD74_APP	CD74	APP	2
CPI-SS0302E8E8F	Proliferating T	Keratinocyte 0	CD74	COPA	3.609	0.199	0	1.904	1.904	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Keratinocyte CCL2+ Cluster3	CD74	COPA	3.609	0.2	0	1.904	1.904	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	FCN1+VCAN+IL1Bhigh Monocytes	CD74	COPA	3.609	0.196	0	1.902	1.902	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS0302E8E8F	Proliferating T	Memory CD4 T	CD74	COPA	3.609	0.192	0	1.901	1.901	IMEx,IntAct	CD74_COPA	CD74	COPA	4
CPI-SS09808DEAE	Proliferating T	Proliferating T	CD74	APP	3.609	0.151	0	1.88	1.88	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	NK and gdT	CD74	APP	3.609	0.142	0	1.876	1.876	curated	CD74_APP	CD74	APP	2
CPI-SS09808DEAE	Proliferating T	Memory CD4 T	CD74	APP	3.609	0.142	0	1.875	1.875	curated	CD74_APP	CD74	APP	2
CPI-SS018AC8F36	Proliferating T	Fibroblast 0	FTH1	SCARA5	2.972	0.463	0	1.718	1.718	curated	FTH1_SCARA5	FTH1	SCARA5	6
