id_cp_interaction	CellType_a	CellType_b	gene_a	gene_b	expValues_a	expValues_b	pValue	mean	significant_mean	annotation_strategy	interacting_pair	Ligand	Receptor	top50的significant_mean的编号
CPI-SS0ABC5C1B8	Th2	Keratinocyte CCL2+ Cluster3	CD74	MIF	1.704	3.226	0	2.465	2.465	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Keratinocyte 5	CD74	MIF	1.704	3.093	0	2.398	2.398	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Keratinocyte CCL2- Cluster3	CD74	MIF	1.704	3.031	0	2.368	2.368	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Proliferating T	CD74	MIF	1.704	2.831	0	2.268	2.268	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Keratinocyte 7	CD74	MIF	1.704	2.782	0	2.243	2.243	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS02DA892C8	Th2	Keratinocyte CCL2+ Cluster3	BSG	PPIA	0.797	3.62	0	2.208	2.208	curated	BSG_PPIA	BSG	PPIA	2
CPI-SS0ABC5C1B8	Th2	CD1C+CLEC10A+IL1Blow DC	CD74	MIF	1.704	2.649	0	2.177	2.177	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Langerhans cells	CD74	MIF	1.704	2.622	0	2.163	2.163	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	APOE+CD9+ Monocytes	CD74	MIF	1.704	2.524	0	2.114	2.114	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Keratinocyte 2	CD74	MIF	1.704	2.521	0	2.113	2.113	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS052C9BB74	Th2	DC-like Monocytes	NR3C1	CXCL8	0.806	3.397	0	2.101	2.101	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS02DA892C8	Th2	Keratinocyte CCL2- Cluster3	BSG	PPIA	0.797	3.37	0	2.083	2.083	curated	BSG_PPIA	BSG	PPIA	2
CPI-SS0ABC5C1B8	Th2	Keratinocyte 0	CD74	MIF	1.704	2.455	0	2.08	2.08	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Keratinocyte 1	CD74	MIF	1.704	2.418	0	2.061	2.061	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS02DA892C8	Th2	Proliferating T	BSG	PPIA	0.797	3.317	0.04	2.057	2.057	curated	BSG_PPIA	BSG	PPIA	2
CPI-SS0ABC5C1B8	Th2	Keratinocyte 6	CD74	MIF	1.704	2.398	0	2.051	2.051	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS02DA892C8	Th2	Keratinocyte 5	BSG	PPIA	0.797	3.297	0.02	2.047	2.047	curated	BSG_PPIA	BSG	PPIA	2
CPI-SS0ABC5C1B8	Th2	Fibroblast 6	CD74	MIF	1.704	2.35	0	2.027	2.027	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	NK and gdT	CD74	MIF	1.704	2.303	0	2.003	2.003	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Th2	CD74	MIF	1.704	2.288	0	1.996	1.996	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Treg	CD74	MIF	1.704	2.288	0	1.996	1.996	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	DC-like Monocytes	CD74	MIF	1.704	2.273	0	1.989	1.989	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	FCN1+VCAN+IL1Bhigh Monocytes	CD74	MIF	1.704	2.141	0	1.923	1.923	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS018AC8F36	Th2	Fibroblast 0	FTH1	SCARA5	3.316	0.463	0	1.889	1.889	curated	FTH1_SCARA5	FTH1	SCARA5	4
CPI-SS0ABC5C1B8	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD74	MIF	1.704	2.06	0	1.882	1.882	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0DBA4D668	Th2	Fibroblast 0	DPP4	CXCL12	0.166	3.58	0	1.873	1.873	curated	DPP4_CXCL12	DPP4	CXCL12	5
CPI-SS0822AEF5F	Th2	CD163+CD16A+CCL18+ Monocytes	PTPRC	MRC1	2.118	1.621	0	1.869	1.869	curated	PTPRC_MRC1	PTPRC	MRC1	6
CPI-SS0ABC5C1B8	Th2	CD163+CD16A+CCL18+ Monocytes	CD74	MIF	1.704	2.004	0	1.854	1.854	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0ABC5C1B8	Th2	Memory CD4 T	CD74	MIF	1.704	1.997	0	1.85	1.85	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS034D36D2F	Th2	Fibroblast 0	HLA-C	FAM3C	3.091	0.541	0	1.816	1.816	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Fibroblast 1	HLA-C	FAM3C	3.091	0.541	0	1.816	1.816	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS018AC8F36	Th2	Fibroblast 1	FTH1	SCARA5	3.316	0.278	0	1.797	1.797	curated	FTH1_SCARA5	FTH1	SCARA5	4
CPI-SS0ABC5C1B8	Th2	Effector CD8 T	CD74	MIF	1.704	1.843	0	1.773	1.773	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS018AC8F36	Th2	Fibroblast 6	FTH1	SCARA5	3.316	0.182	0	1.749	1.749	curated	FTH1_SCARA5	FTH1	SCARA5	4
CPI-SS0ABC5C1B8	Th2	pDC and Mast	CD74	MIF	1.704	1.763	0	1.733	1.733	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS034D36D2F	Th2	Fibroblast 6	HLA-C	FAM3C	3.091	0.351	0	1.721	1.721	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS052C9BB74	Th2	FCN1+VCAN+IL1Bhigh Monocytes	NR3C1	CXCL8	0.806	2.607	0	1.707	1.707	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS0ABC5C1B8	Th2	Fibroblast 1	CD74	MIF	1.704	1.684	0	1.694	1.694	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS0822AEF5F	Th2	DC-like Monocytes	PTPRC	MRC1	2.118	1.221	0	1.669	1.669	curated	PTPRC_MRC1	PTPRC	MRC1	6
CPI-SS034D36D2F	Th2	Keratinocyte 2	HLA-C	FAM3C	3.091	0.221	0	1.656	1.656	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte 6	HLA-C	FAM3C	3.091	0.198	0	1.645	1.645	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	NK and gdT	HLA-C	FAM3C	3.091	0.198	0	1.644	1.644	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS0ABC5C1B8	Th2	Fibroblast 0	CD74	MIF	1.704	1.566	0	1.635	1.635	I2D,InnateDB-All	CD74_MIF	CD74	MIF	1
CPI-SS034D36D2F	Th2	APOE+CD9+ Monocytes	HLA-C	FAM3C	3.091	0.16	0	1.626	1.626	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte 5	HLA-C	FAM3C	3.091	0.155	0	1.623	1.623	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte 7	HLA-C	FAM3C	3.091	0.149	0	1.62	1.62	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte CCL2+ Cluster3	HLA-C	FAM3C	3.091	0.145	0	1.618	1.618	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte CCL2- Cluster3	HLA-C	FAM3C	3.091	0.141	0	1.616	1.616	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Langerhans cells	HLA-C	FAM3C	3.091	0.141	0	1.616	1.616	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte 0	HLA-C	FAM3C	3.091	0.137	0	1.614	1.614	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Keratinocyte 1	HLA-C	FAM3C	3.091	0.13	0	1.611	1.611	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	pDC and Mast	HLA-C	FAM3C	3.091	0.119	0	1.605	1.605	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	Proliferating T	HLA-C	FAM3C	3.091	0.097	0	1.594	1.594	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
